shot,date
100002,2021-06-08
100003,2021-06-08
100004,2021-06-08
100005,2021-06-08
100006,2021-06-08
100007,2021-06-08
100008,2021-06-08
100009,2021-06-08
100010,2021-06-08
100011,2021-06-08
100012,2021-06-08
100013,2021-06-08
100014,2021-06-08
100015,2021-06-08
100016,2021-06-08
100017,2021-06-08
100018,2021-06-08
100019,2021-06-08
100020,2021-06-08
100021,2021-06-08
100022,2021-06-08
100023,2021-06-08
100024,2021-06-08
100025,2021-06-08
100026,2021-06-08
100027,2021-06-08
100028,2021-06-08
100029,2021-06-08
100030,2021-06-08
100031,2021-06-08
100032,2021-06-08
100033,2021-06-08
100034,2021-06-08
100035,2021-06-08
100036,2021-06-08
100037,2021-06-08
100038,2021-06-09
100039,2021-06-09
100040,2021-06-09
100041,2021-06-09
100045,2021-06-09
100046,2021-06-09
100047,2021-06-09
100048,2021-06-09
100049,2021-06-09
100050,2021-06-09
100051,2021-06-09
100052,2021-06-09
100053,2021-06-09
100054,2021-06-09
100055,2021-06-09
100056,2021-06-09
100057,2021-06-09
100058,2021-06-09
100059,2021-06-09
100060,2021-06-09
100061,2021-06-09
100062,2021-06-09
100063,2021-06-09
100064,2021-06-09
100065,2021-06-09
100066,2021-06-09
100067,2021-06-09
100068,2021-06-09
100069,2021-06-09
100070,2021-06-09
100071,2021-06-09
100072,2021-06-09
100073,2021-06-09
100074,2021-06-09
100075,2021-06-09
100076,2021-06-09
100077,2021-06-09
100078,2021-06-09
100079,2021-06-09
100080,2021-06-09
100081,2021-06-09
100082,2021-06-09
100083,2021-06-09
100084,2021-06-09
100085,2021-06-09
100086,2021-06-09
100087,2021-06-09
100088,2021-06-09
100089,2021-06-09
100090,2021-06-09
100091,2021-06-09
100092,2021-06-09
100093,2021-06-09
100094,2021-06-09
100095,2021-06-09
100096,2021-06-09
100097,2021-06-09
100098,2021-06-09
100099,2021-06-09
100100,2021-06-09
100101,2021-06-09
100102,2021-06-09
100103,2021-06-09
100104,2021-06-09
100105,2021-06-09
100106,2021-06-09
100107,2021-06-09
100108,2021-06-09
100109,2021-06-09
100110,2021-06-09
100111,2021-06-09
100112,2021-06-09
100113,2021-06-09
100114,2021-06-09
100115,2021-06-09
100116,2021-06-09
100117,2021-06-09
100118,2021-06-09
100119,2021-06-09
100120,2021-06-09
100121,2021-06-09
100122,2021-06-09
100123,2021-06-09
100124,2021-06-09
100125,2021-06-09
100126,2021-06-09
100127,2021-06-09
100128,2021-06-09
100129,2021-06-09
100130,2021-06-09
100131,2021-06-09
100132,2021-06-09
100133,2021-06-09
100134,2021-06-09
100135,2021-06-09
100136,2021-06-09
100137,2021-06-10
100138,2021-06-10
100139,2021-06-10
100140,2021-06-10
100145,2021-06-10
100146,2021-06-10
100147,2021-06-10
100148,2021-06-10
100149,2021-06-10
100150,2021-06-10
100151,2021-06-10
100152,2021-06-10
100154,2021-06-10
100155,2021-06-10
100156,2021-06-10
100157,2021-06-10
100158,2021-06-10
100159,2021-06-10
100160,2021-06-10
100161,2021-06-10
100162,2021-06-10
100163,2021-06-10
100164,2021-06-10
100165,2021-06-10
100166,2021-06-10
100167,2021-06-10
100168,2021-06-10
100169,2021-06-10
100170,2021-06-10
100171,2021-06-10
100172,2021-06-10
100173,2021-06-10
100174,2021-06-10
100175,2021-06-10
100176,2021-06-10
100177,2021-06-10
100178,2021-06-10
100179,2021-06-10
100180,2021-06-10
100181,2021-06-10
100182,2021-06-10
100183,2021-06-10
100184,2021-06-10
100185,2021-06-10
100186,2021-06-10
100187,2021-06-10
100188,2021-06-10
100189,2021-06-10
100191,2021-06-10
100192,2021-06-10
100193,2021-06-10
100194,2021-06-10
100195,2021-06-10
100196,2021-06-10
100197,2021-06-10
100198,2021-06-10
100199,2021-06-10
100202,2021-06-10
100203,2021-06-10
100204,2021-06-10
100205,2021-06-10
100206,2021-06-10
100207,2021-06-10
100208,2021-06-10
100209,2021-06-10
100210,2021-06-10
100211,2021-06-10
100212,2021-06-10
100213,2021-06-10
100215,2021-06-10
100216,2021-06-10
100217,2021-06-10
100218,2021-06-10
100219,2021-06-10
100220,2021-06-10
100221,2021-06-10
100222,2021-06-10
100223,2021-06-10
100224,2021-06-10
100225,2021-06-10
100226,2021-06-11
100227,2021-06-11
100228,2021-06-11
100229,2021-06-11
100230,2021-06-11
100231,2021-06-11
100232,2021-06-11
100236,2021-06-11
100237,2021-06-11
100238,2021-06-11
100239,2021-06-11
100240,2021-06-11
100241,2021-06-11
100242,2021-06-11
100243,2021-06-11
100244,2021-06-11
100245,2021-06-11
100246,2021-06-11
100247,2021-06-11
100248,2021-06-11
100249,2021-06-11
100250,2021-06-11
100251,2021-06-11
100252,2021-06-11
100253,2021-06-11
100254,2021-06-11
100255,2021-06-11
100256,2021-06-11
100257,2021-06-11
100258,2021-06-11
100259,2021-06-11
100260,2021-06-11
100261,2021-06-11
100262,2021-06-11
100263,2021-06-11
100264,2021-06-11
100265,2021-06-11
100266,2021-06-11
100268,2021-06-11
100269,2021-06-11
100270,2021-06-11
100271,2021-06-11
100272,2021-06-11
100273,2021-06-11
