PCPF,n_steps,mean,P50,P90,P95,P99,P99.5,P99.9,P99.99,P100
PCPF1,2664440,1.3071695566177368,0.8579557538032532,3.1808321475982666,4.313720703125,6.197575092315674,6.885097503662109,8.843074798583984,11.717004776000977,19.219743728637695
PCPF2,2664440,1.3153029680252075,0.8598909378051758,3.2264819145202637,4.372243881225586,6.119686603546143,6.856950283050537,9.066293716430664,12.52395248413086,21.702085494995117
PCPF3,2664440,1.4358676671981812,0.9103222489356995,3.4697537422180176,4.744856834411621,7.283904075622559,8.572023391723633,12.073286056518555,15.68699836730957,22.15121078491211
PCPF4,2664440,1.5056161880493164,0.8764711618423462,3.8715901374816895,5.229424953460693,7.875694274902344,9.125284194946289,12.387481689453125,15.732000350952148,26.2512264251709
PCPF5,2664440,1.8054463863372803,1.0976078510284424,4.481819152832031,6.30096960067749,9.792258262634277,11.217129707336426,14.408294677734375,16.559528350830078,20.857622146606445
PCPF6,2664440,1.6897681951522827,1.0297014713287354,4.00952672958374,6.097095012664795,10.083457946777344,11.584137916564941,14.61367416381836,16.756208419799805,22.5108585357666
PCPF7,2664440,0.8018829226493835,0.44422104954719543,2.107836961746216,2.9267048835754395,4.502140998840332,4.996262073516846,5.7164387702941895,6.323868751525879,7.225333213806152
PCPF8,2664440,0.8538558483123779,0.4618164002895355,2.3001301288604736,3.1739583015441895,4.697363376617432,5.28526496887207,5.908825874328613,6.363656997680664,8.608320236206055
PCPF11,2664440,1.2397267818450928,0.3297816812992096,4.145988941192627,5.410444736480713,7.135227203369141,7.529552936553955,8.29725170135498,11.331220626831055,15.605165481567383
PCPF12,2664440,1.2850502729415894,0.3077799379825592,4.369966983795166,5.6172027587890625,7.246121883392334,7.619901180267334,8.446157455444336,11.25935173034668,16.09359359741211
PCPF13,2664440,1.1102216243743896,0.528734564781189,2.988321304321289,4.085354804992676,6.708134651184082,8.063200950622559,11.822717666625977,16.9228515625,30.76251983642578
PCPF14,2664440,1.1106206178665161,0.5158908367156982,3.028895854949951,4.1858296394348145,6.811629772186279,8.016402244567871,11.795343399047852,16.32651138305664,26.453882217407227
ALL,31973280,1.2883778810501099,0.6633433699607849,3.4164061546325684,4.7451605796813965,7.40677547454834,8.621191024780273,11.996874809265137,15.884521484375,30.76251983642578
