PCPF,n_steps,mean,P50,P90,P95,P99,P99.5,P99.9,P99.99,P100
PCPF1,2060060,0.9698225259780884,0.681605339050293,2.153643846511841,2.875903367996216,4.720947265625,5.607352256774902,8.181217193603516,11.518056869506836,19.219743728637695
PCPF2,2060060,0.9766977429389954,0.6807454228401184,2.170844316482544,2.91748046875,4.846997261047363,5.701248645782471,8.354608535766602,11.752148628234863,21.702085494995117
PCPF3,2060060,1.0521612167358398,0.7310394048690796,2.2842824459075928,3.0939109325408936,5.48646354675293,6.642175674438477,9.846516609191895,14.188179016113281,22.050067901611328
PCPF4,2060060,0.9829260110855103,0.6753137707710266,2.1380577087402344,2.949941635131836,5.233216285705566,6.231534004211426,8.868261337280273,12.9705228805542,20.529747009277344
PCPF5,2060060,1.3409254550933838,0.8983585834503174,3.09698224067688,4.2865095138549805,7.059345245361328,8.137099266052246,10.672237396240234,13.493578910827637,19.408832550048828
PCPF6,2060060,1.1760873794555664,0.8526855707168579,2.5658297538757324,3.409902334213257,5.757080078125,6.878788948059082,9.564339637756348,13.417793273925781,18.90689468383789
PCPF7,2060060,0.5069019198417664,0.33044660091400146,1.1301071643829346,1.6074137687683105,2.916598081588745,3.4817187786102295,4.639388084411621,6.07177734375,7.014999866485596
PCPF8,2060060,0.5221514105796814,0.3395736515522003,1.1743443012237549,1.6625487804412842,2.939310312271118,3.424065351486206,4.359580039978027,5.717324256896973,6.982714653015137
PCPF11,2060060,0.6655963659286499,0.22425362467765808,1.742051601409912,3.651473045349121,6.4827189445495605,7.101477146148682,7.925699710845947,9.651991844177246,14.527889251708984
PCPF12,2060060,0.6568527817726135,0.20197266340255737,1.7818714380264282,3.6744368076324463,6.591588973999023,7.142895698547363,7.890323162078857,9.695019721984863,15.033235549926758
PCPF13,2060060,0.8516084551811218,0.39448919892311096,2.2504215240478516,3.3911523818969727,5.943731784820557,7.123070240020752,10.432561874389648,15.93863582611084,24.309404373168945
PCPF14,2060060,0.8394423723220825,0.3853338956832886,2.258348226547241,3.391911029815674,5.914945125579834,6.925634860992432,10.008919715881348,15.439682960510254,26.453882217407227
ALL,24720720,0.8784300684928894,0.4796822965145111,2.133345603942871,3.1063435077667236,5.684528350830078,6.7244954109191895,8.979084014892578,13.13992691040039,26.453882217407227
