PCPF,n_steps,mean,P50,P90,P95,P99,P99.5,P99.9,P99.99,P100
PCPF1,238871,1.303286075592041,1.0847021341323853,2.6083388328552246,3.231320381164551,5.1674323081970215,6.069146633148193,8.995403289794922,13.172502517700195,15.443202018737793
PCPF2,238871,1.2972599267959595,1.0811846256256104,2.5859506130218506,3.1993350982666016,5.185157299041748,6.191693305969238,9.410563468933105,13.239448547363281,19.686370849609375
PCPF3,238871,2.689159631729126,2.3366613388061523,5.406928062438965,6.5106425285339355,9.077582359313965,10.141063690185547,13.65182113647461,16.225875854492188,20.51184844970703
PCPF4,238871,3.2912099361419678,2.945751905441284,6.380565643310547,7.620604038238525,10.53019905090332,11.661491394042969,14.28085708618164,16.726369857788086,26.2512264251709
PCPF5,238871,3.579378843307495,2.6617326736450195,8.345867156982422,10.004932403564453,13.031730651855469,14.00743293762207,15.31309700012207,16.714954376220703,20.857622146606445
PCPF6,238871,3.9834749698638916,3.077221632003784,9.041386604309082,10.779356956481934,13.623189926147461,14.465624809265137,15.719213485717773,16.856290817260742,19.1460018157959
PCPF7,238871,1.980148434638977,1.8445290327072144,3.7694075107574463,4.23497200012207,5.089450359344482,5.400924205780029,5.841522216796875,6.210223197937012,6.842128753662109
PCPF8,238871,2.159205198287964,2.0754711627960205,3.942258596420288,4.292204856872559,4.886044979095459,5.207633972167969,5.868428707122803,6.323763847351074,6.654082775115967
PCPF11,238871,2.794915199279785,2.6707069873809814,4.755419731140137,5.4533891677856445,6.985116958618164,7.696041584014893,11.18045425415039,12.0112886428833,15.605165481567383
PCPF12,238871,3.097053050994873,2.959395170211792,5.270749092102051,6.033158779144287,7.5050129890441895,8.289544105529785,11.042951583862305,12.036754608154297,14.741426467895508
PCPF13,238871,1.4306968450546265,1.029018521308899,2.9751570224761963,4.0904951095581055,8.047844886779785,9.79432201385498,16.054927825927734,19.047874450683594,30.76251983642578
PCPF14,238871,1.432285189628601,1.039788842201233,2.9656054973602295,4.034095764160156,7.864149570465088,9.580086708068848,15.227276802062988,17.776039123535156,24.874004364013672
ALL,2866452,2.419839382171631,1.8887385129928589,5.070279121398926,6.647587299346924,10.561603546142578,11.994171142578125,14.612968444824219,16.639694213867188,30.76251983642578
