PCPF,n_steps,mean,P50,P90,P95,P99,P99.5,P99.9,P99.99,P100
PCPF1,365509,3.21103835105896,3.095629930496216,5.603173732757568,6.2101969718933105,7.605071067810059,8.267351150512695,9.862945556640625,11.762981414794922,15.780257225036621
PCPF2,365509,3.2355175018310547,3.142644166946411,5.563812255859375,6.09269905090332,7.562833309173584,8.339505195617676,10.33186149597168,14.574151992797852,20.3602237701416
PCPF3,365509,2.779425859451294,2.317255973815918,5.656197547912598,6.632991313934326,9.79940128326416,11.647958755493164,14.612749099731445,18.14152717590332,22.15121078491211
PCPF4,365509,3.284627676010132,2.967226266860962,6.22067928314209,7.302276134490967,10.425758361816406,12.08625316619873,14.901542663574219,18.31531524658203,23.083593368530273
PCPF5,365509,3.2642266750335693,2.4966211318969727,7.267529487609863,8.630257606506348,12.05770492553711,14.270745277404785,16.309206008911133,17.717660903930664,19.880409240722656
PCPF6,365509,3.085937261581421,2.1533830165863037,7.383216381072998,8.80452823638916,12.100082397460938,14.118391990661621,16.477380752563477,17.995933532714844,22.5108585357666
PCPF7,365509,1.6944069862365723,1.4275023937225342,3.566640615463257,4.414677619934082,5.4591450691223145,5.710009574890137,6.148035049438477,6.608888626098633,7.225333213806152
PCPF8,365509,1.870301604270935,1.5932780504226685,3.959141969680786,4.880005836486816,5.795624256134033,5.957470893859863,6.261965751647949,6.695013523101807,8.608320236206055
PCPF11,365509,3.459243059158325,3.3857357501983643,6.3845319747924805,6.993082523345947,7.784029483795166,8.047576904296875,8.811710357666016,11.151575088500977,14.60791015625
PCPF12,365509,3.6414601802825928,3.6033935546875,6.539993762969971,7.108412265777588,7.904492378234863,8.179081916809082,9.01447868347168,11.460261344909668,16.09359359741211
PCPF13,365509,2.3583614826202393,2.0171608924865723,4.660201549530029,5.669190883636475,8.497623443603516,9.805573463439941,14.018453598022461,17.572599411010742,23.673561096191406
PCPF14,365509,2.428799867630005,2.001783847808838,4.994162082672119,6.107295036315918,8.825910568237305,10.112987518310547,14.234132766723633,16.97635269165039,22.807415008544922
ALL,4386108,2.859445571899414,2.4331424236297607,5.784804821014404,6.80959939956665,9.292559623718262,10.72140121459961,14.707280158996582,17.128665924072266,23.673561096191406
