shot,PF6_R2,PF6_n_valid
159694,-265.30757487023743,42
159698,-136.49624324114944,45
159701,-68.88232280230949,45
156947,-26.603715318007232,48
157050,-19.09908264342306,48
156951,-19.08572567237442,48
156965,-16.137489914787306,48
156987,-14.17981889307535,49
157775,-13.520540618309992,48
157538,-13.310197623831993,49
158878,-12.977863402094066,49
157098,-12.458253611290509,49
159458,-12.45023659808118,48
157774,-12.258220344195344,48
156949,-12.025883947716938,49
157776,-11.704729098186538,48
159565,-11.18200641884159,48
158471,-10.523834528584764,48
159540,-10.30075301236923,48
158877,-9.877287829572644,48
159112,-9.445925915552483,49
158367,-9.33103997451814,48
157051,-8.81106044369239,48
156966,-8.467134401163808,49
156952,-8.27405774772804,48
159459,-7.956321707166511,49
156956,-7.783879282776514,48
156948,-7.53861507172406,48
156953,-7.452447040511384,48
157587,-7.392973727083806,48
157052,-7.314277682832408,48
159541,-6.814591806770524,53
156950,-6.563228251324749,48
159794,-6.424545782358584,49
157773,-6.227895016591986,49
156990,-5.926236650684361,48
159450,-5.855272901475813,48
158705,-5.783938496633217,54
157780,-5.676658674719026,48
157810,-5.665100148536318,49
159537,-5.622688895875871,49
158997,-5.5149310594606735,48
156967,-5.437852299497731,48
156989,-5.252207616926041,48
159532,-4.836452301093042,49
159099,-4.8207594138231675,49
158704,-4.817466917112988,48
159525,-4.697392185672491,48
159791,-4.56163901244229,49
159545,-4.507011209614839,49
158998,-4.46680827640724,48
159446,-4.450713706485542,47
157148,-4.416035370246498,48
159001,-4.373170492811969,49
158550,-4.356515319486409,48
159528,-4.312390735680639,49
159526,-4.086502522046661,48
157781,-4.071040214007964,48
159527,-4.067188367249301,49
158683,-4.0261454436439985,48
159800,-3.985142625835307,48
156969,-3.9544779508359627,48
156960,-3.951399375137303,48
159000,-3.8262357940771263,48
159427,-3.679563084954923,47
159783,-3.5401092061056776,48
159419,-3.5073644358734892,48
158688,-3.408686734036416,48
156981,-3.3952579320657756,48
159167,-3.3817272121940016,48
159101,-3.310048747087559,48
159444,-3.2738109220773604,48
157856,-3.115266337907059,48
158708,-3.1026893177224224,49
156985,-3.0744750306911888,48
158358,-3.033807879406365,48
156988,-2.9956939983930773,49
159529,-2.987804063003968,49
158824,-2.9326582486588206,48
158676,-2.9189439771003847,48
159445,-2.8785003507643174,47
157852,-2.8408638347043467,49
158698,-2.7823349471807743,48
158697,-2.7695913183540535,48
159443,-2.7038158937309906,47
157811,-2.6787271509899755,49
156439,-2.6723200312433817,48
159416,-2.670353843759315,48
158693,-2.660396951154039,48
158684,-2.649799978065196,48
158678,-2.624861857569973,48
159795,-2.6118011464176147,50
158695,-2.6087890706251056,48
156983,-2.6012142477478855,48
159434,-2.519413007776522,48
157792,-2.449680269816908,49
159451,-2.4253598679815194,48
159534,-2.40293362133597,48
159786,-2.3884781173798104,48
156978,-2.3845384870296398,48
159484,-2.3411431199868487,47
158991,-2.33428197750453,49
156438,-2.2915712574508085,48
156998,-2.2911214467290706,48
159788,-2.283722285139233,48
158955,-2.2828842963823055,49
158677,-2.272386099210902,48
159452,-2.2714828784925736,48
158679,-2.2499521989305147,48
159784,-2.2413008716270393,48
158675,-2.2313277743138844,48
158699,-2.1985276604069504,48
158685,-2.1935434811707997,48
156440,-2.1627094729902265,48
158694,-2.1474379311586054,48
156979,-2.124759741966996,47
159785,-2.0950287779002337,49
157412,-2.090018089006076,48
159089,-2.0763945213531954,48
159442,-2.0468319155448276,48
158351,-1.991660884866115,48
158680,-1.960257285646985,48
158669,-1.9384264574366705,49
156437,-1.8944931688773679,47
158690,-1.8922211170042456,48
156972,-1.8719491189230757,48
158696,-1.8691580556666856,48
159433,-1.8183393297304216,48
158673,-1.8057930068566863,48
159802,-1.7904305669304685,49
159004,-1.7855695027278604,49
157794,-1.7809485074470386,48
158689,-1.778696429254504,48
159090,-1.7670694872992674,48
156970,-1.761090988427497,48
159530,-1.69987677696083,49
159568,-1.6949662419263438,48
159100,-1.68024967531169,48
158671,-1.6197670486206062,48
159453,-1.589675465250541,48
159798,-1.5772252556407134,48
158357,-1.5692002413672244,48
159439,-1.5162180559094964,49
159461,-1.5122354703843257,48
158716,-1.4806937866834753,51
157815,-1.4605967744371955,48
159739,-1.427394747453829,49
157812,-1.4143676116989008,48
159424,-1.4065961677963585,48
156454,-1.387716022574779,47
158686,-1.344890232814778,48
158700,-1.3369421730763715,48
158883,-1.2943429699254883,48
156436,-1.287702540175856,47
159790,-1.2846208249035502,48
158491,-1.2786331090374885,48
156435,-1.2725242212048742,48
158672,-1.26797876349316,48
156468,-1.2521642097870638,49
159440,-1.2520539489637388,47
158825,-1.2439273385890015,48
158383,-1.2410328663506371,48
159734,-1.2404397286145286,48
159796,-1.1840897802053312,48
159749,-1.1700908238451797,48
159164,-1.1688116966750965,49
159601,-1.1351299101804724,46
156968,-1.1304713298910043,49
159390,-1.1091352915766146,48
159600,-1.104858948268455,47
159432,-1.1029896209878323,47
158509,-1.0642352143121219,48
157816,-1.0513295948622328,48
158352,-1.0262842575957634,48
159449,-0.999180429809702,46
158551,-0.9977601561460616,49
158792,-0.9806949278725949,48
159747,-0.9449258169909134,49
159437,-0.9174968602975893,48
158374,-0.8977783536170285,48
158207,-0.8905858791799619,48
159420,-0.8767948885235415,48
156982,-0.8695305743706434,48
156449,-0.8677823117205494,49
159425,-0.8490562237294204,47
159744,-0.8479515185215702,48
157849,-0.8394444728915316,49
159171,-0.8191014098463452,49
159500,-0.8112057242320452,54
159789,-0.797007294953519,48
156448,-0.7887702728944144,47
159603,-0.7846970650082428,46
158702,-0.7362289876480517,49
159120,-0.7241373823508535,55
156442,-0.713746613877879,49
158798,-0.7013165493860045,48
159435,-0.6864135495364294,48
158384,-0.6635144068707266,47
158701,-0.6522642324379373,48
157766,-0.6222551346443475,48
159467,-0.6043732042204011,49
158375,-0.6014783213293613,48
159111,-0.5734329927470458,48
159841,-0.5697108368763502,47
159343,-0.5541202112172663,49
159748,-0.5494686416506296,48
159399,-0.5465285813217788,48
159431,-0.5399443677399443,48
158793,-0.5306338407154325,48
159696,-0.5223480344111586,42
157371,-0.5194820268307476,47
158553,-0.5055619588301286,49
159102,-0.4890420493661296,48
158378,-0.4700251025623421,48
159594,-0.4602015216500308,49
157768,-0.4565651080738733,48
159570,-0.44612277801126954,55
159438,-0.4432211161361712,47
159388,-0.43972472231250026,48
159593,-0.421514114348138,45
